index	CZ	SF	DS
1	370000	0.009	10000
2	740000	0.0045	10000
3	1110000	0.003	10000
4	370000	0.009	10000
5	740000	0.0045	10000
6	1110000	0.003	10000
7	370000	0.009	10000
8	740000	0.0045	10000
9	1110000	0.003	10000
10	370000	0.009	10000
11	740000	0.0045	10000
12	1110000	0.003	10000
13	370000	0.009	10000
14	740000	0.0045	10000
15	1110000	0.003	10000
16	370000	0.009	10000
17	740000	0.0045	10000
18	1110000	0.003	10000
19	370000	0.009	10000
20	740000	0.0045	10000
21	1110000	0.003	10000
22	370000	0.009	10000
23	740000	0.0045	10000
24	1110000	0.003	10000
25	370000	0.009	10000
26	740000	0.0045	10000
27	1110000	0.003	10000
28	370000	0.009	10000
29	740000	0.0045	10000
30	1110000	0.003	10000
31	370000	0.009	10000
32	740000	0.0045	10000
33	1110000	0.003	10000
34	370000	0.009	10000
35	740000	0.0045	10000
36	1110000	0.003	10000
37	370000	0.009	10000
38	740000	0.0045	10000
39	1110000	0.003	10000
40	370000	0.009	10000
41	740000	0.0045	10000
42	1110000	0.003	10000
43	370000	0.009	10000
44	740000	0.0045	10000
45	1110000	0.003	10000
46	370000	0.009	10000
47	740000	0.0045	10000
48	1110000	0.003	10000
49	370000	0.009	10000
50	740000	0.0045	10000
51	1110000	0.003	10000
52	370000	0.009	10000
53	740000	0.0045	10000
54	1110000	0.003	10000
55	370000	0.009	10000
56	740000	0.0045	10000
57	1110000	0.003	10000
58	370000	0.009	10000
59	740000	0.0045	10000
60	1110000	0.003	10000
